Year,Region,Region Code,Industry,Industry Code,Measure,Gas type,Value,Value Unit,Value Label,Null Reason
2016,Hawke's Bay,Hawke's Bay Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,123.35,number,Kilotonnes of CO2 equivalent,
2017,Hawke's Bay,Hawke's Bay Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,129.95,number,Kilotonnes of CO2 equivalent,
2018,Hawke's Bay,Hawke's Bay Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,140.66,number,Kilotonnes of CO2 equivalent,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,108.51,number,Kilotonnes of CO2 equivalent,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,106.16,number,Kilotonnes of CO2 equivalent,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,115.23,number,Kilotonnes of CO2 equivalent,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,121.27,number,Kilotonnes of CO2 equivalent,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,123.15,number,Kilotonnes of CO2 equivalent,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,141.6,number,Kilotonnes of CO2 equivalent,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,144.99,number,Kilotonnes of CO2 equivalent,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,148.14,number,Kilotonnes of CO2 equivalent,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,155.2,number,Kilotonnes of CO2 equivalent,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,159.58,number,Kilotonnes of CO2 equivalent,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,164.05,number,Kilotonnes of CO2 equivalent,
2018,Manawatū-Whanganui,Manawatu-Wanganui Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,175.18,number,Kilotonnes of CO2 equivalent,
2007,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,27.76,number,Kilotonnes of CO2 equivalent,
2008,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,31.21,number,Kilotonnes of CO2 equivalent,
2009,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,31.92,number,Kilotonnes of CO2 equivalent,
2010,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,32.79,number,Kilotonnes of CO2 equivalent,
2011,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,29.18,number,Kilotonnes of CO2 equivalent,
2012,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,27.53,number,Kilotonnes of CO2 equivalent,
2013,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,27.78,number,Kilotonnes of CO2 equivalent,
2014,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,27.09,number,Kilotonnes of CO2 equivalent,
2015,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.82,number,Kilotonnes of CO2 equivalent,
2016,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.27,number,Kilotonnes of CO2 equivalent,
2017,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,27.43,number,Kilotonnes of CO2 equivalent,
2018,Marlborough,Marlborough Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,28.09,number,Kilotonnes of CO2 equivalent,
2007,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,194.43,number,Kilotonnes of CO2 equivalent,
2008,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,189.83,number,Kilotonnes of CO2 equivalent,
2009,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,180.78,number,Kilotonnes of CO2 equivalent,
2010,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,174.56,number,Kilotonnes of CO2 equivalent,
2011,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,178.66,number,Kilotonnes of CO2 equivalent,
2012,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,171.09,number,Kilotonnes of CO2 equivalent,
2013,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,176.07,number,Kilotonnes of CO2 equivalent,
2014,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,166.55,number,Kilotonnes of CO2 equivalent,
2015,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,166.33,number,Kilotonnes of CO2 equivalent,
2016,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,165.27,number,Kilotonnes of CO2 equivalent,
2017,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,174.59,number,Kilotonnes of CO2 equivalent,
2018,Northland,Northland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,179.49,number,Kilotonnes of CO2 equivalent,
2007,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,180.15,number,Kilotonnes of CO2 equivalent,
2008,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,189.86,number,Kilotonnes of CO2 equivalent,
2009,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,155.98,number,Kilotonnes of CO2 equivalent,
2010,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,145.99,number,Kilotonnes of CO2 equivalent,
2011,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,150.84,number,Kilotonnes of CO2 equivalent,
2012,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,162.98,number,Kilotonnes of CO2 equivalent,
2013,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,157.48,number,Kilotonnes of CO2 equivalent,
2014,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,162.33,number,Kilotonnes of CO2 equivalent,
2015,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,173.97,number,Kilotonnes of CO2 equivalent,
2016,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,176.97,number,Kilotonnes of CO2 equivalent,
2017,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,225.19,number,Kilotonnes of CO2 equivalent,
2018,Otago,Otago Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,226.16,number,Kilotonnes of CO2 equivalent,
2007,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,57.85,number,Kilotonnes of CO2 equivalent,
2008,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,60.01,number,Kilotonnes of CO2 equivalent,
2009,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,57.82,number,Kilotonnes of CO2 equivalent,
2010,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,55.74,number,Kilotonnes of CO2 equivalent,
2011,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,59.25,number,Kilotonnes of CO2 equivalent,
2012,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,60.45,number,Kilotonnes of CO2 equivalent,
2013,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,69.2,number,Kilotonnes of CO2 equivalent,
2014,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,71.63,number,Kilotonnes of CO2 equivalent,
2015,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,68.89,number,Kilotonnes of CO2 equivalent,
2016,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,68.74,number,Kilotonnes of CO2 equivalent,
2017,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,71.69,number,Kilotonnes of CO2 equivalent,
2018,Southland,Southland Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,71.22,number,Kilotonnes of CO2 equivalent,
2007,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,2191.61,number,Kilotonnes of CO2 equivalent,
2008,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1787.16,number,Kilotonnes of CO2 equivalent,
2009,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1522.44,number,Kilotonnes of CO2 equivalent,
2010,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1749.58,number,Kilotonnes of CO2 equivalent,
2011,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1330.24,number,Kilotonnes of CO2 equivalent,
2012,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1858.86,number,Kilotonnes of CO2 equivalent,
2013,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1421.4,number,Kilotonnes of CO2 equivalent,
2014,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1049.86,number,Kilotonnes of CO2 equivalent,
2015,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,853.73,number,Kilotonnes of CO2 equivalent,
2016,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1144.49,number,Kilotonnes of CO2 equivalent,
2017,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1639.71,number,Kilotonnes of CO2 equivalent,
2018,Taranaki,Taranaki Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,1320.8,number,Kilotonnes of CO2 equivalent,
2007,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,59.85,number,Kilotonnes of CO2 equivalent,
2008,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,65.82,number,Kilotonnes of CO2 equivalent,
2009,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,63.19,number,Kilotonnes of CO2 equivalent,
2010,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,64.06,number,Kilotonnes of CO2 equivalent,
2011,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,67.28,number,Kilotonnes of CO2 equivalent,
2012,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,67.51,number,Kilotonnes of CO2 equivalent,
2013,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,66.15,number,Kilotonnes of CO2 equivalent,
2014,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,63.05,number,Kilotonnes of CO2 equivalent,
2015,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,64.52,number,Kilotonnes of CO2 equivalent,
2016,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,67.81,number,Kilotonnes of CO2 equivalent,
2017,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,77.63,number,Kilotonnes of CO2 equivalent,
2018,"Nelson, Tasman","Tasman, Nelson","Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,78.58,number,Kilotonnes of CO2 equivalent,
2007,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,4025.16,number,Kilotonnes of CO2 equivalent,
2008,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,6075.3,number,Kilotonnes of CO2 equivalent,
2009,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,4827.26,number,Kilotonnes of CO2 equivalent,
2010,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,3704.36,number,Kilotonnes of CO2 equivalent,
2011,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,3754.98,number,Kilotonnes of CO2 equivalent,
2012,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,4745.52,number,Kilotonnes of CO2 equivalent,
2013,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,3753.76,number,Kilotonnes of CO2 equivalent,
2014,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,3452.8,number,Kilotonnes of CO2 equivalent,
2015,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,3492.6,number,Kilotonnes of CO2 equivalent,
2016,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,2845.6,number,Kilotonnes of CO2 equivalent,
2017,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,2916.45,number,Kilotonnes of CO2 equivalent,
2018,Waikato,Waikato Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,2903.51,number,Kilotonnes of CO2 equivalent,
2007,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,339.24,number,Kilotonnes of CO2 equivalent,
2008,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,370.35,number,Kilotonnes of CO2 equivalent,
2009,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,405.28,number,Kilotonnes of CO2 equivalent,
2010,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,376.62,number,Kilotonnes of CO2 equivalent,
2011,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,389.52,number,Kilotonnes of CO2 equivalent,
2012,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,395.02,number,Kilotonnes of CO2 equivalent,
2013,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,378.48,number,Kilotonnes of CO2 equivalent,
2014,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,369.1,number,Kilotonnes of CO2 equivalent,
2015,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,383.65,number,Kilotonnes of CO2 equivalent,
2016,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,395.28,number,Kilotonnes of CO2 equivalent,
2017,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,391.07,number,Kilotonnes of CO2 equivalent,
2018,Wellington,Wellington Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,400.33,number,Kilotonnes of CO2 equivalent,
2007,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,25.27,number,Kilotonnes of CO2 equivalent,
2008,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,25.95,number,Kilotonnes of CO2 equivalent,
2009,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.41,number,Kilotonnes of CO2 equivalent,
2010,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,24.68,number,Kilotonnes of CO2 equivalent,
2011,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.48,number,Kilotonnes of CO2 equivalent,
2012,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.47,number,Kilotonnes of CO2 equivalent,
2013,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.33,number,Kilotonnes of CO2 equivalent,
2014,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,24.73,number,Kilotonnes of CO2 equivalent,
2015,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,25.14,number,Kilotonnes of CO2 equivalent,
2016,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,26.18,number,Kilotonnes of CO2 equivalent,
2017,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,29.67,number,Kilotonnes of CO2 equivalent,
2018,West Coast,West Coast Region,"Electricity, gas, water and waste services",D,Greenhouse gas emissions,Carbon dioxide equivalents,29.75,number,Kilotonnes of CO2 equivalent,
2007,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,239.41,number,Kilotonnes of CO2 equivalent,
2008,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,269.16,number,Kilotonnes of CO2 equivalent,
2009,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,268.19,number,Kilotonnes of CO2 equivalent,
2010,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,265.69,number,Kilotonnes of CO2 equivalent,
2011,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,266.03,number,Kilotonnes of CO2 equivalent,
2012,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,259.36,number,Kilotonnes of CO2 equivalent,
2013,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,248.91,number,Kilotonnes of CO2 equivalent,
2014,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,270.38,number,Kilotonnes of CO2 equivalent,
2015,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,288.63,number,Kilotonnes of CO2 equivalent,
2016,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,353.08,number,Kilotonnes of CO2 equivalent,
2017,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,442.95,number,Kilotonnes of CO2 equivalent,
2018,Auckland,Auckland Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,482.51,number,Kilotonnes of CO2 equivalent,
2007,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,40.06,number,Kilotonnes of CO2 equivalent,
2008,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,45.9,number,Kilotonnes of CO2 equivalent,
2009,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,44.21,number,Kilotonnes of CO2 equivalent,
2010,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,42.43,number,Kilotonnes of CO2 equivalent,
2011,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,41.61,number,Kilotonnes of CO2 equivalent,
2012,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,38.26,number,Kilotonnes of CO2 equivalent,
2013,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,37.91,number,Kilotonnes of CO2 equivalent,
2014,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,40.99,number,Kilotonnes of CO2 equivalent,
2015,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,43.95,number,Kilotonnes of CO2 equivalent,
2016,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,53.13,number,Kilotonnes of CO2 equivalent,
2017,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,71.55,number,Kilotonnes of CO2 equivalent,
2018,Bay of Plenty,Bay of Plenty Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,77.91,number,Kilotonnes of CO2 equivalent,
2007,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,87.18,number,Kilotonnes of CO2 equivalent,
2008,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,97.57,number,Kilotonnes of CO2 equivalent,
2009,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,99.57,number,Kilotonnes of CO2 equivalent,
2010,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,99.34,number,Kilotonnes of CO2 equivalent,
2011,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,116.51,number,Kilotonnes of CO2 equivalent,
2012,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,141.24,number,Kilotonnes of CO2 equivalent,
2013,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,156.94,number,Kilotonnes of CO2 equivalent,
2014,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,173.95,number,Kilotonnes of CO2 equivalent,
2015,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,172.95,number,Kilotonnes of CO2 equivalent,
2016,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,172.95,number,Kilotonnes of CO2 equivalent,
2017,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,200.89,number,Kilotonnes of CO2 equivalent,
2018,Canterbury,Canterbury Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,218.88,number,Kilotonnes of CO2 equivalent,
2007,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,5.3,number,Kilotonnes of CO2 equivalent,
2008,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,6.11,number,Kilotonnes of CO2 equivalent,
2009,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,6.31,number,Kilotonnes of CO2 equivalent,
2010,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,5.79,number,Kilotonnes of CO2 equivalent,
2011,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,5.53,number,Kilotonnes of CO2 equivalent,
2012,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,5.13,number,Kilotonnes of CO2 equivalent,
2013,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,4.61,number,Kilotonnes of CO2 equivalent,
2014,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,4.6,number,Kilotonnes of CO2 equivalent,
2015,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,4.55,number,Kilotonnes of CO2 equivalent,
2016,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,4.68,number,Kilotonnes of CO2 equivalent,
2017,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,6.09,number,Kilotonnes of CO2 equivalent,
2018,Gisborne,Gisborne Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,6.64,number,Kilotonnes of CO2 equivalent,
2007,Hawke's Bay,Hawke's Bay Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,20.42,number,Kilotonnes of CO2 equivalent,
2008,Hawke's Bay,Hawke's Bay Region,Construction,E,Greenhouse gas emissions,Carbon dioxide equivalents,22.89,number,Kilotonnes of CO2 equivalent,
