Year,Measure,Language group,Language,Language Code,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,18-24,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Male,25-39,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,25-39,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,5,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Male,40-*,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,40-*,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,10,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,5,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,5,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Male,Total,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Male,Total,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Total,*-17,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,*-17,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,5,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,5,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Total,18-24,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,18-24,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,5,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,5,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,5,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Total,25-39,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,25-39,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,15,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,5,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,5,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Total,40-*,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,40-*,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,30,number,Number of students,
2011,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,10,number,Number of students,
2012,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,15,number,Number of students,
2013,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2014,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2015,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2016,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2017,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2018,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2019,Non-formal students in language courses,International,Croatian,Croatian,Total,Total,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Croatian,Croatian,Total,Total,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Female,*-17,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,*-17,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,10,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,5,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,5,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,5,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Female,18-24,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,18-24,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,15,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,15,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,5,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,0,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,5,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,5,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Female,25-39,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,25-39,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,10,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,15,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,10,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,5,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Female,40-*,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,40-*,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,40,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,35,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,20,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,10,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,5,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,5,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Female,Total,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Female,Total,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Male,*-17,0,number,Number of students,
2010,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,International,Dutch,Dutch,Male,*-17,0,number,Equivalent full-time students,
2010,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2011,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,5,number,Number of students,
2012,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2013,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2014,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2015,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2016,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2017,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2018,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
2019,Non-formal students in language courses,International,Dutch,Dutch,Male,18-24,0,number,Number of students,
